name,bio
Elf Cleric,"Elves are devoted protectors of nature that try to spread their ideas and
customs to the rest of Rodia, by any means necessary.

Clerics are usually the spokespersons of their message, though if they are not
treated with respect, as is usually the case, they let their maces do the talking
instead. In battle, they prefer being on the front lines and try to make the
enemies lower their guard so that another Elf can take advantage and attack
them by surprise.
"
Elf Drifter,"Broca the Drifter is a legendary warrior who left his village centuries ago to lead
a solitary life. He is the oldest Elf currently alive and as he himself affirmed, the
most bored with life in the forest. In his time, he was at once the most skillful
Huntsman and Rogue, and over time he developed his own style. One of his
exploits as The Drifter was to find the entrance to the town of the Centaurs,
although he did not participate in the attack as he disagreed with the orders to
annihilate them.
"
Elf Huntsman,"Elves feed on leaves, roots and fruit, never harming other creatures in the
process. Therefore, an Elf Huntsman does not hunt animals, but intruders, or
as they call them: ""Utter fools"" or ""Insolent creatures who think they don't need
an invitation to enter our domains and sully them with their disrespectful
customs”. Elf Huntsmen are the fastest and most skilled. They jump among the
branches and hide in the leafy trees to remain undetected before they fall on
their enemies and end their lives.
"
Elf Monk,"Only an Elf beyond the age of 300 can aspire to become a true Monk. Not
using weapons is part of their path, as they believe nature must be preserved
intact, without a single scratch, and belongings are but a weight for the body.
Therefore, their only food is the energy that the forest itself wishes to grant
them. Despite their radical views, Monks do not impase their beliefs on others,
and they are treated with veneration.
"
Elf Mystic,"During the new moon phase, the Elves usually climb into the treetops to gaze
at the velvety night sky, speckled with countless stars. There, Elf Mystics sing
ancient songs in a solemn voice about, among other similar things, the rustling
of leaves when they are swayed by the wind. Besides appeasing the soul of
their people, they can channel the energy of the forest into their scepters and
use it to blow up their enemies.
"
Elf Rogue,"Elves do not live forever, and the older they get, the more vulnerable to disease
they become. However, their longevity is legendary, and some even live
beyond a thousand years of age.

Elves are also extremely agile and clever, and Elf Rogues are trained to
harness the maximum potential of their bodies. They move stealthily in the
shadows and determine their enemies’ movements while looking for the right
moment to strike a mortal blow.
"
Elqor,"Though it once served as Zonte's personal familiar, the all-too-curious god
granted Elqor's request for the freedom to explore the world on its own. The
mental bond between Zonte and Elgor still remains, however, and the two often
hold trivial conversations and share their discoveries with each other just like
the good old days. Some time ago, the Auditors contacted it and it had an
audience with one of their members. Due to its incredible potential, it was
offered a position as executor, but Elqor politely declined the offer and went
back the way it had come.
"
Emerald Carbuncle,"Humans hunted Carbuncles to near-total extinction as they waged war against
their neighboring towns and cities. The Watcher War began soon after.

Emerald Carbuncles are braver and more cunning than the rest of their
species. Taking advantage of their cute and delicate appearance, they
approach children who are playing away from their parents and attract them by
levitating happily around them. When it gets their attention, it leads them into
the middle of the forest until a predator finds them and kills them.
"
Emerald Paragon,"During the Unification War, Lister realized that the fragile peace he had
achieved with the help of the Priests had completely shattered. Through the
gem he always holds in his hands he gave life to the Paragons to help the
righteous.

The Emerald Paragon is aggressive and grumpy, and when it gets angry it hits
a wall with its fists and throws okjects on the floor. Everything around it seems
to be more fragile.
"
Emlai,"King Misery was defeated and killed 723 years ago in the throne room of his
own kingdom, but his thirst for vengeance allowed his spirit to remain in this
world. Caedo, his kingdom, became part of Gonfurian's realm, and from there
he planned his return for centuries. Emlai, the last Caedo Seraph, seeks
retribution for its king, who was crucified as a heretic for the second time so
many years ago by none other than the ruler of Siralim. Emlai's thirst for
vengeance will not be quenched until Siralim, and all the people who
contributed to its king's untimely demise, are wiped from the face of Rodia.
"
Emus,"It was a young Raven who discovered the existence of Muse and the Astral
Gallery. He was a really promising young wizard. While studying the magic that
allows dimensional travel, that is, moving to the different realms, he noticed a
small loophole that allowed him to enter the realm of the Godess of Creation.
Fascinated by the living artistic display that was there, he decided to bring a
human friend, the person he trusted the most. Very soon they met Emus, the
second in command. She kindly asked them to keep the existence of that place
a secret, fearing the inevitable if it became known. The Raven and the human
understood her request and reassured her that they already planned to try to
hide her existence from the world. Emus thanked them deeply, and in time a
good friendship blossomed. The Raven later cast a powerful spell that further
concealed the entrance, but also warned Emus that sooner or later someone
would find a way to bypass the wards, a prediction that hundreds of years later
would come true.
"
Enclave Amaranth,"At the dawn of civilization, the Amaranths fell from the sky. Yseros hurried to
Eternity's End and met with Vertraag. ""Was that you?"" she asked. ""No,""
answered the God of Time. A smile appeared on his face. ""It was no one. They
were already here.""

When a spell hits the Enclave Amaranth, part of the magic bounces off its body
and moves toward the caster. It is common to find groups of these creatures
after a natural disaster, staring at the damage.
"
Enim Ophan,"Yseros knew that the size and shape of Watchers, as well as their ability to fly,
made them especially lethal as spellcasters. The first human biologists who
studied Ophans discovered that, despite their intelligence, they do not have the
biological support to move or to think. It was three centuries later, when magic
became part of the scientific method, that another biologist found that the ring
around their body has a magical circuit that emulates the usual structures of
other living beings.
"
Entropic Spectre,"One of Sigmund's most evil acts was to test his curse on the youngest prince
of Siralim. In the middle of the night, a heartrending cry echoed in the halls of
the castle. The frightened Queen got out of bed and desperately looked for
him. Near the stables, she found the Entropic Spectre holding her son,
although she did not know its true nature. The Queen vanquished the Spectre
with ease, but as it vanished she realized in shock that its existence and her
son's life had merged into one.
"
Erebyss,"Vertraag and Erebyss had lived together in Arcadia for centuries. Faced with
the threat of the God of Darkness, Vertraag convinced him to attack Erebyss
first, saying she was the weakest. He lied. The armies of Angels and demons
devastated Arcadia in a battle that claimed thousands of lives, until Erebyss
realized there was only one way to defeat her foe. She let him pierce her skull
with his sword, then used her full power to absorb the God's darkness, which
spread through Erebyss and her realm. Vertraag appeared before a different
Erebyss. She looked drained. ""Why did you not help me?"" she asked. ""There
can be no light without darkness,"" he replied.
"
Eternal Divinity,"The Eternal Divinity is the only being to whom other Demigods will bow to,
even if reluctantly. This is partly because it was the last work of the Gods, the
youngest brother as well as the epitome of perfection among its kind. It knows
everything that has been and many of the things that will be. Its abilities are
beyond mortal ken, and to defeat it is a pipe dream for everyone but a few.
"
Eternaldew Gemling,"When Gemlings came to life in the Refuge of the Magi, they turned on their
creators and mercilessly annihilated hundreds of them. Nothing could stop
them.

Eternaldew Gemlings have the ability to condense the humidity around them to
produce water in large quantities. However, in captivity by humans, they
produce another compound by adding an oxygen atom to it.
"
Ethereal Basilisk,"At present, it is known that the powers of the Basilisks work through their voice.
If their scream is interrupted before it takes effect, they must start from the
beginning.

Due to the ghostly appearance of the Ethereal Basilisk, it was thought for a long
time to be a soul, trapped in this world. The truth is that it is as organic as the
rest of its kind. Its scales, like the rest of its body, are extremely sensitive to
magic, and acquire this color at birth after being exposed to it.
"
Ethereal Clutcher,"Clutchers can sense fear over great distances. Before approaching an
unarmed, terrified victim, they hide and move slowly, scratching the cold stone
with their nails.

The Ethereal Clutcher can prcject terrifying images and scenes into people's
minds, even when they are asleep. When Tartarith is especially busy ""DOING
THE KILLING"", he orders these creatures to have fun with his future victims.
"
Evergreen Ent,"During the winter festivities, many people around the world decorate a fir so
that it resembles an Evergreen Ent. These creatures live in snowy places and
never stray too far from home. If they see a stranger attacking an animal, they
sink their roots in the snow and extend them to deliver a surprise blow to the
aggressor.
"
Evernight Shade,"The scientific community debated for centuries whether Shades are intelligent
creatures. The advancement of magic and the development of more rigorous
experimentation methods finally revealed the truth: though some of their
actions are quite elaborate, they are instinctive creatures.

Evernight Shades hide in the darkness, and are especially dangerous when the
sun sets, or in places where light is scarce, as they are invisible to most
creatures.
"
Evil Spirit,"This creature owes its name to its sinister appearance that has scared many
travelers. However, people who live near caves or very dense forests where
sunlight barely shines through the canopy know there is no reason to be afraid
of them. In such places, it is common to have heard stories in which someone
who was missing returns several days later thanks to an Evil Spirit's help.
"
Evil Vortex,"Even though Evil Vortices also participated in the Watcher War, many began to
call them that due to their appearance and peculiarities. All light around an Evil
Vortex is inevitably absorbed by it. Even on a bright morning with totally clear
skies, the space around an Evil Vortex somehow seems darker.
"
Exalted Spirit,"The only vulnerable parts of a Spirit are its hands and face, as steel and magic
simply go through its body.

If an Exalted Spirit finds someone living in poverty, it always offers food and
other presents to help them in their situation. Unfortunately, they sometimes
steal these gifts from other people, which often gives the story a sad and
violent ending.
"
Exiled Satyr,"The constant threat of the Ets forced the Satyrs to establish their colonies high
in the treetops. They prefer leafier, higher trees, and a good part of the Blood
Grove treetops have been settled by them.

Some Satyrs steal from their arachnid neighbors or illegally trade with them.
Those and other crimes are sometimes punished with exile, based on their
severity and the existence of repeat offenses. In addition, to prevent them from
joining anather colony and committing more misdeeds, both horns are cut off.
"
Experimental Clockwork,"The nation of Kiaces is located in the northern part of the continent, a long way
from Radia. There, steam technology has developed considerably, and its
inhabitants depend on it to a great extent.

The Experimental Clockwork was the last of its kind to be built by Alexandria,
and its sole purpose is to gather all kinds of information about the outside.
However, believing this creature is harmless can be a fatal mistake. Anyone
who interrupts its activities will automatically become a target to be eliminated,
unless the threat is clearly greater than its own strength, in which case it will try
to escape.
"
Eye Animation,"When a necromancer creates an Animation, the rest of the body that part
belonged to turns to dust after a few seconds. In addition, the size of the body
part increases considerably.

Necromancers who bring Eye Animations to life often place them outside their
lairs to keep an eye on the horizon, as their sharp vision allows them to see any
detail within three miles.
"
Faded Grimoire,"An ambitious prcject was carried out in the Columbia Tower to give life to
inanimate objects. Grimoires are the result of a long and tedious experiment
whose purpose was to create singular and extraordinary spells that would be
preserved for eternity.

It smells like old leather; its pages have been turned hundreds of times.
Anyone who opens the Faded Grimoire without taking the necessary
precautions will see their lifespan reduced every second.
"
Faith Hunter,"Hunters are nomadic creatures that travel around the world on the backs of
great wolves. The bond between the rider and its mount is established from a
young age, and they generally do not separate until one of them dies. All of
them follow the ideals of Meraxis, which are not too clear to most humans and
other intelligent species, and the God of Bliss grants them special powers in
exchange, like the Faith Hunter's ability to bring its allies back to life.
"
Fallen Carnage,"From the moment they were created, no other creature has managed to
replace the Carnages as the most efficient assassins there are. Crime
syndicates and some powerful businessmen often use them to get rid of loose
ends or competition.

For a Fallen Carnage, taking lives is as necessary as eating, sleeping or
reproducing, to the point of turning against their own allies if one of them steals
a kill.
"
Favored Masochist,"The Torture Chamber is an underground complex located in the kingdom of
Caedo, several acres in size. Some believe that Tartarith has altered its
dimensions to make it even bigger inside.

When a Masochist is idle, it inflicts superficial wounds on itself to kill time. It is
believed that the Favored Masochist was once a young northerner who could
channel curses into his own weapon.
"
Fearsome Gargantuan,"Torun has always been fascinated by mountains. One day, after giving life to
the Storms, he decided that it would be great if mountains could walk and insult
simple mortals, giving them intense looks of disapproval.

In some regions of Radia it is believed that the Fearsome Gargantuan's name
is due to the horns on its head. In reality, it was named by several warriors who
saw one curl into a ball and roll toward them at great speed.
"
Feeling Arbiter,"The world is full of intelligent creatures, and some stand out from the rest in
one or more respects. Many attract the attention of the Auditors but, because of
their behavior or their way of thinking, they are not considered suitable to carry
out their designs.

Unlike Moving Arbiters, Feeling Arbiters do not resolve conflicts by force. When
they intervene in an argument between two people, they sometimes decide to
cast a silencing spell on one of them if that person is not listening to what the
other one says.
"
Feet Animation,"Animations are obedient creatures, though they do not always fully understand
what they are told, and take any order literally.

On more than one occasion, a Feet Animation has begun to move as if it were
dancing for no apparent reason. It was quickly discovered that in all cases,
those feet had once belonged to someone who enjoyed dancing, either
professionally or as a hobby.
"
Feral Carver,"This devilish pest enjoys torturing its victims with its own hands, generally
ripping them open to eat their guts while they are still alive. It considers the
bloodstains on its body lucky charms and never cleans them up, even if it is its
own blood. That is why the scent of a Feral Carver is so characteristic, to the
point of serving as a warning to many adventurers when they are near one of
their lairs.
"
Feral Voidlord,"From his palace of stars, a God watched that dance of intrigue with a smile. A
short time later, several Gods lost valuable items that they had created.
Centuries after that, when the Unification War came to an end, Milner found the
Phase Rogue looting the royal crypts of Omnia. After stopping it, she realized
there was no body inside Cerys's grave.

Feral Voidlords only attack small villages. When they howl in the middle of the
night, a dark aura escapes from their jaws and blackens the sky, absorbing all
light from the moon and the stars. In their perfect cloaks of darkness, they
move toward their chosen victims, sometimes helpless and unwary, other
times aware that they will soon cease to exist.
"
Ferocious Fiend,"The first Fiends lived in the Great Pandemonium with Vulcanar. The God of
Fire was very satisfied with his creations, but he had no choice but to exile
most of them, as they would have eventually wiped out all other creatures in his
realm.

When a Ferocious Fiend cannot get close enough to bite its enemies, it uses
the pointed end of its tail to pierce through them. Some Carvers train young
Ferocious Fiends to use them as mounts and shock troops once they grow up.
"
Festering Ghoul,"Adter the defeat of King Sigmund, the survivors of Omnia fled the city, never to
return. Before that, Milner defeated Sigmund's right-hand man, a Mage of great
talent, in single combat. Due to his great power and the magic items he carried,
the transformation was not complete. Like other Ghouls, the Festering Ghoul
has lost his personality. However, it seems that he is able to direct other
Ghouls and control their insatiable hunger. The authorities are still trying to find
him to destroy him.
"
Festival Smog,"The Festival Smog is a creature originally designed for festive purposes. It was
developed in an illegal laboratory and it usually fetches a high price in the black
market. The Mage who directed the prcject was expelled from the Magic
University of Siralim years ago for performing illegal tests on intelligent
sukjects, and she was locked in a regular prison with anti-magic protection.
However, she managed to escape thanks to her contacts and started a new
life. The authorities are currently trying to track down her fraudulent activities
without much success.
"
Final Arbiter,"Arbiters are creatures who roam around, resolving minor disputes by order of
the Auditors. Sometimes they simply chat with one or more of the parties
involved.

Of all of them, the Final Arbiter is the one that intervenes the most in the affairs
of those with fewer resources, and the only one who does more than speak or
go into battle. Recently, a group of Final Arbiters was seen helping in the
reconstruction of a town in Neralim that had suffered an earthquake.
"
Fire Priest,"In the beginning, there were only eleven. They gave shape to the world, and life
to the beings that inhabit it. To do so, they sacrificed part of their power.

Fire Priests were the first of their species to visit the cities. Wherever they went,
like most other Priests, they seemed to make humans and creatures aware of
the injustices upon which their communities were built. They instantly
undermined the authority of many lords and stopped the damage their warriors
and Magi might have caused.
"
Fire Salamander,"The Nether Orbs that helped an old ruler of Siralim attain godhood also granted
the Salamanders extraordinary magic abilities.

Fire Salamanders like to make their nests in the Great Pandemonium. They
can walk on lava without harm, so they generally lay their eggs on islets
surrounded by this dangerous substance. If a flying creature tries to approach,
the Fire Salamander spits fire at it to knock it down, where it dies to the heat of
the magma. Vulcanar quickly became an admirer of these creatures.
"
Firewound Angel,"Adter the war against darkness, the Angels, creatures of blood and steel, lost
their purpose and became lethargic, until the wars of humans caught their
attention.

A former scientist and priest of Vanelin studied these creatures and discovered
that submerging them in water was enough to extinguish their flames that
cover their body. However, they only need a few seconds to make them burn
again. Those seconds were what the priest needed to run away before the
Firewound Angel turned him to ashes.
"
Flailing Manticore,"Manticores are agile, deadly creatures that can break a person's neck with a
single bite. However, the Flailing Manticore is different, as it prefers to use its
tail to inflict pain. A single blow of it can break limbs, pierce armor and crush
the skull of any creature.
"
Flamegrip Clutcher,"Before the first kingdoms existed, an individual was born who had an
exceptional talent for magic. His parents named him Taylor. As a child, he
mistreated his toys and experimented with living animals that he caught in the
woods, not caring at all about their suffering.

The Flamegrip Clutcher waits until its victims have been immobilized by
another Clutcher, then grabs their boots and sets them on fire. The victims
watch as their feet are burnt to a crisp, making escape impossible.
"
Flamehook Pilwiz,"The authorities of Rodia forbid the cultivation of corn to any species other than
the Pilwiz, due to the mysterious accidents that the competition would
otherwise suffer. In exchange, the Council of Economy has a say in the prices
of corn to prevent abuse.

The Flamehook Pilwiz is immune to the heat of fire. It has an essential job, as it
can absorb fire to save the crops if necessary. They sometimes come into
conflict with the Ents, as they burn forest plots to cultivate them.
"
Flametongue Efreet,"The Efreets were born from the fire and lava of the Great Pandemonium
through the work of Vulcanar and several Magi. Unlike Bjinns, these creatures
are not ambitious and never betray their owners, although they are quite
mischievous.

The Flametongue Efreet's control over fire is such that it can alter its properties,
so that instead of burning a creature it fills it with vigor and energy.
"
Flesh Abomination,"Abominations are weak-willed creatures who can be easily manipulated. Their
two heads communicate by babbling, usually at the same time, and they can
understand what other people are telling them. As most Abominations used to
be humans, they are easy prey for Ghouls and Forsaken in the wild.

Flesh Abominations often join small bands of criminals or big crime syndicates
that accept them in exchange for protection.
"
Flood Familiar,"Familiars are often hired by small towns and villages to scare away Mutated
Pulse Bats that try to take advantage of the darkness of the night to steal food
from people.

The Flood Familiar can swim and dive in the water, from where it can also
obtain food. In battle, it creates high-density water spheres that it can direct at
will to hit its opponents in unprotected areas.
"
Fog Spirit,"There are many legends surrounding the world's oceans. They speak of
curses, great treasures and unexplored lands. The story of the Fog Spirit goes
back to that of William James, a famous pirate who sailed the waters for
decades and discovered impossible places. His last journey took him to an
island that floated above the northern sea, where he found a magnificent
treasure. A cursed treasure. The Fog Spirit appeared when this happened, and
it has traveled the world since, breaking minor curses.
"
Foghorn Clockwork,"Over the years, the people of Kiaces and other nations, especially those that
are far from Rodia, have changed their lifestyle, adapting it to the advantages
steam technology provides.

Foghorn Clockworks camouflage themselves by standing mationless close to
the gears found throughout Damarel. Their purpose is to ensure everything
works correctly, and also to alert Battle Clockworks to the presence of
intruders. In any case, they are also capable of dealing with threats, which they
often do by letting themselves fall on them.
"
Forbidden Grimoire,"Although Grimoires can live forever, their structure is vulnerable to events
where a great amount of magic is unleashed. This has caused alterations in the
spells they contain after events such as the Unification War or the ascension to
godhaood of an old ruler of Siralim.

The Forbidden Grimoire once contained spells that could instantly kill whoever
cast them. That is why only the most skilled Magi can safely look at its pages
and read the letters, numbers and runes they contain.
"
Forest Gargantuan,"The size of a Gargantuan is both its greatest advantage and its weak point. On
the one hand, their incredible strength allows them to deliver devastating blows.
On the other, they are easy targets that can fall apart if their legs are damaged.

On the back of the Forest Gargantuan there is a small ecosystem inhabited
mainly by trees, insects and small birds. During battle, it uses the soil and the
rocks on the ground to regenerate any damage.
"
Forest Priest,"When humans and creatures populated the land, the first cities were born. But
it seemed like the children of the Gods would forever fight among themselves.

Priests are venerated as divine creatures in all of the kingdoms of Rodia.
Forests and their ecosystems have been affected by wars and other human
activities. The Forest Priests traveled to these places and spread their essence
to repopulate them. When they finished their work, some stayed behind to
prevent that from happening again.
"
Forsaken Bonescraper,"During the last battle of the Unification War, the people of Omnia who had lost
their lives suffered a monstrous transformation that affected them differently
depending on their sex. In the case of women, they became creatures that the
victors called Forsaken.

The strength of the Forsaken Bonescraper is unparalleled in this world. So
much that her body breaks down because of her own blows. When she can no
longer raise her arm, she attacks her enemies with the spikes on her shoulder.
"
Forsaken Plaguebearer,"During the siege of Omnia, several magic students were assigned to protect
the University. Shortly before the Unification forces achieved victory, the
Festering Ghoul entered the University followed by a hundred Ghouls. The
students soon realized there was nothing they could do. One locked herself in
the biological experimentation room, but the doors gave way and she was
killed. Her left arm is now a factory of diseases, although until now she had
remained in Omnia and her existence was unknown.
"
Forsaken Rotmongerer,"The Magic University of Omnia had the most cutting-edge studies and
research techniques in the world. When the Unification War came to an end,
the Forsaken and Ghouls infested the facilities, attracted by the smell of magic.

The Rotmongerer's fungi emit spores that absorb the vital energy of plant
organisms and send it to this creature.
"
Forsaken Scourgewalker,"The Forsaken are insatiable creatures that feed mainly on human flesh. Like
Ghouls, they have lost their minds and identities and have become tireless
killers that only steel and magic can stop.

The last battle of the Unification War caused serious damage to the city of
Omnia. It was soon on fire, and the women who died by the flames became
Scourgewalkers. When they find people, they turn the fire of their own bady into
spells to end their lives.
"
Forsaken Seacrawler,"The city of Omnia had engineering works that seemed to be taken from a
dream. The floating lake, where a large number of marine creatures were
displayed, was one of the most popular tourist attractions. During the
Unification War, the enchanted mechanisms that supported the lake were
damaged, and it began to move freely around the city. The women who
drowned inside transformed into Seacrawlers, creatures that can quickly move
underwater and drown anyone who comes into contact with them.
"
Forsaken Spinewhipper,"The physical strength of the Forsaken is immense. With their pincers, they can
stop the fist of a Giant and cut off its hand.

At the beginning of a fight, the Spinewhipper uses her tentacles to stimulate her
own spine with electric currents, increasing her speed considerably. She then
uses her spine to hit her enemies in the face or grab them by the arms so that
they cannot use their weapons.
"
Forsaken Swampdweller,"When the Forsaken and the Ghouls began to hunt the civilians of Omnia, there
was a massive flight to the upper levels of the city. To protect the upper
echelons, the city guard had a Minotaur Earthshaker destroy the last steps of
the famous glass stairs. Hundreds of people lost their lives, and the women
who were crushed became Swampdwellers. When they fight in a magic
environment, they plant their tentacles on the ground to absorb the energy and
strengthen themselves.
"
Fortune Dragon,"This creature's name is cruelly ironic. When the claws of a Fortune Dragon
pierce an enemy's flesh, they transmit an infectious disease that is lethal if left
untreated for twenty-four hours. Dragon Queens usually have them attack any
outsiders who break the laws of the Unsullied Meadows, leaving them alive.
This is meant to serve as a warning due to the extreme pain the victims suffer
during the course of the disease.
"
Frenzy Ghoul,"All those who drank of Omnia's water three days before the attack were struck
by a curse that remained inside them in a latent state.

Ghouls are always hungry and feel an intense predilection toward human flesh.
To subdue their victims, Frenzy Ghouls rarely begin by biting them. Instead,
they take advantage of the incredible strength of their left arm to beat them to
death. Only then will they start eating.
"
Friden,"The oceans hide many mysteries. In them lie innumerable treasures, lost
islands full of unimaginable riches, and terrible curses. They gave rise to
incredible stories and legends. People, especially pirates, believed in the sea
as a deity. In some way, their faith and the magic hidden in the depths of the
waters gave life to Friden. The God of the Sea enjoys stories about the courage
of adventurers, and often communicates with them to encourage them, give
them advice and acknowledge their feats.
"
Frost Phoenix,"Phoenixes are majestic, elusive creatures that rarely interact with other beings.

It is said that in the past, a Royal Phoenix fell seriously ill and landed on the
Frostbite Caverns. Azural approached full of curiosity and watched as the
creature burst into flames and was consumed. The young God knelt and
carefully put his hand in its ashes. He felt the touch of two tiny legs and a gentle
peck. Surprised, he pushed the ashes away and looked at the Frost Phoenix
chick he had accidentally created.
"
Frostbite Cruncher,"When the ruler of Nex discussed Crunchers with llberd, and proposed that they
were simply made by Vertraag as a joke, llberd denied the possibility saying
that if they were Vertraag's, no Carbuncle would have survived for so long.

When a Frostbite Cruncher is afraid or angry, it emits a howl reminiscent of the
sound of a blizzard. Its shell lights up and a thin layer of ice spreads out on the
ground.
"
Frostbite Wight,"He was the scourge of the icy mountains near Sithicus long before Misery,
Egas and other dark lords even existed. When the blizzards lifted snow and
frost from the ground, he fell on his enemies wrapped in a blanket of cold white
and blood red. It was believed that Azural had sent him to cover the entire
kingdom in ice. However, the Queen of Sithicus foresaw his movements and
managed to sabotage his descent by provoking a huge avalanche. Now, he
and his castle belong to the Kingdom of Heretics.
"
Frostbite Yeti,"This creature can channel the cold of the Frostbite Caverns through its blows to
freeze its prey. It is a peaceful creature that lives in the snow and does not look
for trouble, but faced with the arrival of explorers that are scared by its
presence and hunters who seek its skin, it often has to look for allies to get by.
At times, it is deceived by other creatures into forming a group, and at nightfall
they end its life to get some money out of its coat.
"
Frostfire Efreet,"Zonte had a bad feeling about Vulcanar's intentions from the beginning. He had
dealt with the God before, and he knew it was no coincidence that he had
appeared with such an offer immediately after the Djinn uprising. Zonte twisted
his words to create the Frostfire Efreet. This creature's breath can freeze any
surface, and its touch can cause ice burns on the skin. Vulcanar had no choice
but to reluctantly exile this Efreet from the Great Pandemonium.
"
Frozen Spirit,"The Frozen Spirit is almost as old as Azural. When the Magi of Sithicus began
to investigate the Frostbite Caverns, this creature appeared. Many lost
travelers and explorers found their way when they were lucky enough to find it.
When someone tends to the wounds of an ally, this creature can turn the
healing magic into a thick layer of ice that protects against blows.
"
Gateway Shade,"It is rare to see a Shade near towns or cities, since they are greatly disturbed
by the presence of souls, except those that were tainted by their previous
selves.

Gateway Shades come from creatures that used magic at some point of their
lives. When they feel threatened, they create a small spatial distortion to
teleport behind their enemies and attack them by surprise.
"
Genaros,"In the distant kingdom of Kiaces, hunting was revered for dozens of
generations, so much so that its cult spread beyond its borders. That faith that
traveled almost the entire continent gave life to Genaros, a God who, far from
being vengeful, even extolled indiscriminate slaughter as long as it had the
purpose of filling the stomach of another living being. However, over time he
was forgotten and the borders of his realm simply ceased to be seen with the
naked eye. Recently, a group of Radian Magi found a way to enter the
Overgrown Temple, causing that mist to disappear. Genaros is always talking
about hunting and does not tolerate any type of violence that is not related to
survival in the strictest sense of the word. He charges with all his anger against
any criminal who enters his realm.
"
Geylian Ophan,"These creatures were imbued with a large amount of magic, and seven Nether
Orbs were consumed in the process of their creation.

The Goddess of Illusion had to ask Vertraag for help so that Surathli could
create the Geylian Ophan. It can see the past and the immediate future at once
through its secondary eyes, and its power allows it to generate small time
distortions that seem to accelerate anything inside of them.
"
Ghoul Ringleader,"This creature's left hand allows it to absorb water from any organism, although
the process is not instantaneous. Some crime syndicates use this creature as a
form of torture, having it dry out their enemies limb from limb. To the delight of
many, a spell was developed centuries ago that can reverse the damage done
by this terrifying ability.
"
Giant Mangler,"Yseros's advice had been to create small, elusive creatures to face the
Watchers, which was more than enough reason for Torun to do the opposite.

The Giant Mangler is the only one of its kind that does not use strictly blunt
weapons, though it usually uses the hooks of its club to climb to the roofs, then
leap on its enemies.
"
Gift Mimic,"Two hundred years ago, the dean of the Magic University of Neralim received a
gift from one of her colleagues for Purple Victory Day. When she opened it, she
was greeted by two dreadful rows of fangs and devoured in a single bite before
she could react. The next morning her colleague was provisionally appointed
as dean; a position she managed to keep for ten years, which at the time was
the longest possible term of deanship, established to prevent such practices.
"
Gimp Mummy,"During the funeral of a sovereign of Kaito, a sacred conclave was held in which
all priests and priestesses participated. Through words and a strange dance,
the dust rose from the ground and flew around them.

The Gimp Mummies led the attack on the capital of Kaito. The royal guard was
terrified to realize that, after being hit by these creatures, the wounds they
inflicted with their weapons were reflected in their own bodies.
"
Glade Watcher,"Adter crossing the portal, Watchers took on different appearances to adapt to
their environment.

The Glade Watcher stands next to trees and bushes and closes its eyes to
camouflage itself. When someone passes by, it lets out a sinister giggle and
lets its fangs show. If that individual dares to approach, it opens its eyes wide
and attacks with a terrible bite.
"
Gloopdiator,"Venedon spent hundreds of years trying to bring the Concoctions to life, but
given his lack of scientific knowledge, these creatures are quite simple-looking.

It is plain to see that the Gloopdiator knows very well what it is doing. It
employs elaborate tactics such as feints in battle, and it learns from its own
mistakes. One of its favorite strategies is to trick its opponents with its shield,
intentionally leaving an opening so the enemy causes a direct wound to its
body. Then, the Gloopdiator strikes its enemy's head, dropping its mace on
their skull.
"
Glutinous Slime,"The Slimes have different abilities depending on the type of magic that
generated the waste they came from.

The Glutinous Slime's body acts as a catalyst for spells. Although absorbing
spells can damage its structure, it does not seem to mind, and always
intercepts them to channel their energy and share it with its allies, making them
more powerful.
"
Gold Golem,"This creature was not designed for war, but to protect the belongings of a
wealthy merchant who wanted to punish anyone foolish enough to rob him. Any
living being wha touches this Golem will suffer excruciating pain throughout the
body for three days. For the rest of the thief's life, trying to steal from anyone
will cause them to suffer anather episode. Nowadays, everyone knows the
story and thieves simply ignore such Golems.
"
Goldblight Angel,"This creature continually gives off a powerful light that can make anyone who
looks at it closely lose their mind. The scope of the effect depends on the time
of exposure, but this has not stopped some kings and ostentatious lords from
using these creatures as lamps for their castles and mansions. Naturally, many
of these lords end up paying dearly for their bizarre boldness in mental
hospitals.
"
Goliath Arachnalisk,"Although its poison is not lethal, the Goliath Arachnalisk is the largest of its
siblings. It lives deep in forests and tends to avoid clearings, which is why
forest-dwelling Familiars usually settle in them. This creature is a born hunter
that attacks any creature of similar or smaller size even when it is not hungry,
as its web can preserve food for several days.
"
Gonfurian,"The God of War delights in the conflicts that constantly plague the world. He
always acknowledges warlike feats, and far from being satisfied with
congratulating the great warriors of history, he grants them immortality and the
power to fight for eternity as his Chosen. Sometimes, he lets himself be found
by certain warriors in hopes of being challenged to a duel. However, until the
arrival of the current ruler of Siralim, no one had managed to defeat him.
"
Gooarrior,"Concoctions leave behind them a trail of highly polluting, glowing, sticky
substance. It is believed that, if one of these creatures were thrown into a river,
entire ecosystems and crops would be ruined for a long time.

To intimidate its enemies, the Gooarrior constantly alters its shape. The truth
is, this creature tries very hard to assume a terrifying appearance, but its
success rate is questionable, as the only thing it provokes in its opponents is
laughter.
"
