name,description,material_name
Master of Elves,"At the start of battle, your Elves share 5% of their stats with each other. This trait does not stack.",Sigil of the Elf
Stampede,"After this creature Attacks, Defends, or Provokes, it Casts Wrath of Nature.",Ancient Branch
Optimism,"After this creature is Attacked, it gains 25% Defense and Speed.",Ashwood Branch
Cycle of Life,"After this creature is resurrected, it gains 100% Maximum Health.",Aspen Branch
Nature's Blessing,Your creatures always have Mending and take 15% less damage. This trait does not stack.,Ebony Branch
Black Lotus,Your creatures take 40% less damage while they have Mending. This trait does not stack.,Efflorescent Branch
Unscathed,"After your creatures are Attacked, their Mending buffs heal them immediately. This trait does not stack.",Elder Branch
Infested With Ants,"At the start of this creature's turn, it deals damage to random enemies equal to 30% of its lowest stat. This effect happens 3 times.",Evergreen Gift
Nutrient Blood,"Your creatures recover 15% Health at the start of their turn. If they have Mending, they recover 50% Health instead. This trait does not stack.",Hemlock Branch
Sacred Bark,"After your creatures are Attacked, 50% of the damage received is added to this creature's Barrier.",Timeworn Branch
Master of Ents,"The first time your Ents are killed, they are resurrected with 10% Health.",Sigil of the Ent
All For One,Your creatures cast spells 0.5 additional times (rounded down) for each Familiar fighting on your side. This trait does not stack.,Arcane Pinion
Conversion,Your creatures' spells deal 15% more damage and 15% less healing for each Familiar fighting on your side. This trait does not stack.,Elemental Pinion
One For All,"After one of your Familiars Cast a spell, your other creatures gain a random Spell Gem. This trait does not stack.",Flood Pinion
Pierce the Veil,Your creatures' spells ignore 10% of their target's Defense for each Familiar fighting on your side. This trait does not stack.,Judge Pinion
Group Meditation,"At the start of battle, your creatures' Spell Gems gain 1 Charge if you have at least 3 Familiars fighting on your side. This trait does not stack.",Mystical Pinion
Potency,Your creatures' spells that increase or decrease stats are 25% more effective for each Familiar fighting on your side. This trait does not stack.,Palace Pinion
Higher Understanding,Your creatures' Spell Gems have a 10% chance to not consume Charges when they're cast for each Familiar fighting on your side. This trait does not stack.,Spectral Pinion
Master of Familiars,Your Familiars have 10% more Intelligence for each time your Familiars have Cast a spell in the current battle. This trait does not stack.,Sigil of the Familiar
Uncontrollable Anger,"After your creatures with Berserk Attack, they have a 35% chance to Attack again. This trait does not stack.",Annihilator Tooth
Outrage,"This creature is always Berserk, and deals 75% more damage.",Berserker Tooth
Flash of Anger,"After your creatures with Berserk Attack, they gain Invisible.",Deceptive Tooth
Bloodfury,"After this creature Provokes, your creatures gain Berserk and Savage.",Destroyer Tooth
Agitation,This creature deals 80% more damage with attacks for each of its debuffs.,Ferocious Tooth
Eyesore,"At the start of battle, this creature's Defense is added to its Attack, then its Defense is set to its minimum value.",Mauler Tooth
Relentless Hunger,"After this creature Attacks, it deals 100% of the damage dealt to two other random enemies.",Thresher Tooth
Master of Fiends,Your Fiends with Berserk have a 40% chance to avoid damage. This trait does not stack.,Sigil of the Fiend
Whetted Bones,"This creature starts battles with 100% more Attack and Defense, but loses 25% Attack and Defense at the end of its turn.",Bonescraper Pincer
Deathwalker's Destruction,"When an enemy takes damage from Bomb, it has a 50% chance to take this damage a second time. This effect can repeat multiple times in a row.",Deathwalker's Tiara
Deathwalker's Hymn,Your Lepers share their innate traits with each other.,Deathwalker's Harp
Deathwalker's Strangulation,"When an enemy takes damage from Poisoned, it has a 50% chance to take this damage a second time. This effect can repeat multiple times in a row.",Deathwalker's Gem
Anxiety,"This creature's Spell Gems have 100% more potency, but are Sealed after they're Cast.",Plaguebearer's Pincer
Stupify,"This creature starts battles with 100% more Intelligence and Defense, but loses 25% Intelligence and Defense at the end of its turn.",Rotenmongerer Pincer
Curse of the Silent,"This creature's Spell Gems don't lose Charges when it casts spells, but it also starts battles with Silenced.",Scourgewalker Pincer
Transmogrification,"This creature starts battles with 5 random buffs, but cannot gain additional buffs.",Seacrawler Pincer
Contradiction,"This creature starts battles with 200% more Speed, but also starts battles at the bottom of the Timeline.",Spinewhipper Pincer
Darkness Surrounding,"This creature starts battles with 125% more Health, but takes damage equal to 15% of its Maximum Health at the start of its turn.",Swampdweller Pincer
Master of Forsaken,"If all the creatures in your party are Forsaken, their innate traits have no downside.",Sigil of the Forsaken
Furor,"At the start of this creature's turn, it Attacks a random enemy for each creature that died since its last turn. Each attack deals 200% normal damage.",Daunting Tree Trunk
Charge,"At the start of each creatures' turns, this creature has a 25% chance to Attack a random enemy.",Fearsome Tree Trunk
Resprout,"At the start of this creature's turn, it recovers Health equal to 100% of the damage it took since its last turn.",Forest Tree Trunk
Scrutiny,"At the start of this creature's turn, it Casts a random spell for each spell that the enemy creatures Cast since its last turn.",Gruesome Tree Trunk
Bide,"When this creature Attacks, it deals additional damage equal to 100% of the damage it took since it last Attacked.",Monstrous Tree Trunk
Come Hither,"After this creature is Attacked, it Casts Crush Punch on the enemy.",Shackled Tree Trunk
Defer Pain,"When this creature takes damage, 90% of the damage is delayed until the start of its next turn.",Sturdy Tree Trunk
Spontaneous Combustion,"After this creature is Attacked, it Casts Volcano.",Volcanic Tree Trunk
Master of Gargantuans,Your Gargantuans have a 50% chance to avoid damage while they're Defending or Provoking. This trait does not stack.,Sigil of the Gargantuan
War Magic,"After your creatures Cast a Chaos spell, they gain 35% Attack. This trait does not stack.",Bloodfang Teeth
The Wicked End,"After this creature manually Casts a spell, it Casts 3 random Chaos spells.",Darkeye Teeth
Sleight of Hand,"After your creatures Cast a single-target Chaos spell, this creature afflicts the target with Silenced.",Dusktail Teeth
Discord,"At the start of battle, your creatures gain Chaos Bolt. This spell deals 100% more damage.",Goretongue Teeth
Ransack,"At the start of battle, your creatures gain copies of all the enemies' Chaos Spell Gems.",Nightwing Teeth
Heart of Steel,"If this creature manually Cast a Chaos spell during battle, it resurrects with 50% Health when it dies. Then, this trait is reset.",Steelheart Teeth
Reign of Chaos,Your creatures' Chaos spells Cast 2 additional times. This trait does not stack.,Stonehorn Teeth
Primitive Incantation,Your creatures have 7% more Attack for each permanent Chaos Spell Gem each of your creatures have equipped. Maximum of 3 Spell Gems per creature. This trait does not stack.,Sunclaw Teeth
Master of Gargoyles,"After your Gargoyles Cast a Chaos spell, your Gargoyles gain 20% Attack. This trait does not stack.",Sigil of the Gargoyle
Oscillation,"Your creatures' Spell Gems are 70% more potent when they have an odd number of Charges, and are 70% less potent when they have an even number of Charges. This trait does not stack.",Crystaldune Shard
Tumble,"Your creatures' Spell Gems with the 'Cascading' property now consume 3 Charges when cast, and are 50% more potent. This trait does not stack.",Eternaldew Shard
Neodymium,Your creatures' Spell Gems with the 'Magnetic' property act as if 3 more of those Spell Gems exist. This trait does not stack.,Nightvelvet Shard
Obelisk,Your creatures' Ethereal Spell Gems have the same number of Charges that they'd have if they weren't Ethereal.,Rockmoss Shard
Quality Over Quanitity,Your creatures' Spell Gems with the 'Singular' property have 100% more charges if they only have one non-Ethereal Spell Gem equipped. This trait does not stack.,Stillfire Shard
Distribution,"At the start of battle, your creatures share a copy of their first Spell Gems with each other. This trait does not stack.",Whitestar Shard
Master of Gemlings,"If all the creatures in your party are Gemlings, they can equip Spell Gems from any class.",Sigil of the Gemling
Foot Eater,"After this creature Attacks, it steals 50% of the target's Speed.",Delirious Toe
Dark Roamer,Your creatures have 3% more Speed for every 1% Health they're missing. This trait does not stack.,Festering Toe
Horde,Your creatures share 5% of their Speed with each other. This effect is not applied to creatures that have this trait. This trait does not stack.,Frenzy Toe
Frenzy,Your creatures dodge and deal critical damage as if they have 100% more Speed. This trait does not stack.,Hysteria Toe
Grim Aura,Your creatures' attacks deal additional damage equal to 25% of their Speed. This trait does not stack.,Maniacal Toe
Ravage,This creature deals extra damage with attacks and spells equal to 50% of its Speed.,Rapturous Toe
Only For The Weak,This creature deals 35% more damage with attacks and spells for every 100% Speed it has greater than its base amount.,Ringleader Toe
Master of Ghouls,Your Ghouls deal additional damage with attacks and spells equal to 15% of their Speed for each Ghoul fighting on your side. This trait does not stack.,Sigil of the Ghoul
Strength of the World,"At the start of battle, this creature's Defense is added to its Maximum Health, then its Defense is set to its minimum value. In addition, this creature takes 50% less damage.",Colossal Boulder
Admire the Gods,"When this creature takes damage, and the damage exceeds 25% of its Maximum Health, reduce the damage to 25% of its Maximum Health. The amount of damage prevented cannot exceed 200% of this creature's Maximum Health.",Cosmic Boulder
"Ho Ho Oh, !@#$",Creatures cannot gain stats until after their first turn.,Bag of Broken Toys
Boastful Protector,"While this creature is Provoking, it has a 25% chance to avoid damage.",Mangler Boulder
Pilgrimage,"When this creature Casts a spell, 50% of its Current Health is added to its Intelligence to determine the spell's potency.",Mystical Boulder
Rapid Regeneration,"At the start of each creature's turn, this creature recovers 10% of its missing Health.",Sand Boulder
Absorption,"After an enemy is healed, this creature gains Maximum Health equal to 30% of the amount healed.",Stone Boulder
Wreck,"When this creature Attacks, its damage is based on its Current Health instead of Attack.",Tower Boulder
Hostile Vitality,"When this creature Attacks, it deals additional damage equal to 35% of its Current Health.",Wall Boulder
Reforged,"After your creatures are resurrected, they gain 50% Maximum Health. This trait does not stack.",War Boulder
Master of Giants,Your Giants start battles with 30% more Health for each Giant fighting on your side. This trait does not stack.,Sigil of the Giant
Dimensions,"At the start of this creature's turn, it Casts 5 random spells, one from each class.",Particle of Aja Birku
Hopelessly Hopeful,"After this creature manually Casts a spell, it also Casts a random Avatar spell.",Particle of Alakadan
What's Yours Is Mine,"At the start of battle, your creatures gain a random enemy's trait. This trait does not stack.",Particle of Colg
From Death to Destiny,This creature has additional stats equal to 50% of the stats of your dead creatures. This trait does not work with creatures who also have this trait.,Particle of Darksulker
Skyttels,"At the start of battle, this creature gains copies of your other creatures' non-Ethereal Spell Gems. This trait does not work on creatures that also have this trait.",Particle of Diamant
Eve,"Your creatures' spells are 100% more potent, but only have 1 Charge. This trait does not stack.",Particle of Dikya
Empire,"This creature's spells are 50% less potent, but it casts them 4 additional times.",Particle of Elqor
Release the Cure,"After this creature Attacks or is damaged by an attack or spell, it gains a random buff.",Particle of Emlai
Silence Speaks,"At the start of battle, this creature gains two of your other creatures' innate traits.",Particle of Iconus
Rescue Ride,"At the end of this creature's turn, it resurrects a random ally with 100% Health and gives it Shelled.",Particle of Kalasag
Any Given Sin,"After your creatures Attack, they are afflicted with Scorned. Your creatures' attacks deal 100% more damage. This trait does not stack.",Particle of Kapre
Nostalgia,"At the start of your creatures' turns, they Cast a random spell that belongs to their class. This trait does not stack.",Particle of Laglor
Great Expectations,Your creatures' spells are 125% more potent if they don't have any Spell Gems equipped. This trait does not stack.,Particle of Linta
Revolt,"After this creature Attacks or takes damage from an attack or spell, it afflicts the enemy with a random debuff.",Particle of Mumu
Ultimate Sacrifice,"At the start of this creature's turn, its extra traits are removed and it gains 5 random traits.",Particle of Noxpit
Elimination Process,"After this creature Attacks, it deals 100% of that damage to the target.",Particle of Ottum
To Move On Is To Grow,This creature's attacks deal 100% more damage if it Cast a spell last turn. This creature's spells deal 100% more damage if it Attacked last turn.,Particle of Tenbran
Beyond Oblivion,This creature receives all effects that require it to be adjacent to your other creatures. This trait does not stack.,Particle of The Lost
Heartrage,"At the end of each creature's turn, this creature deals damage to a random enemy equal to 80% of its lowest stat.",Particle of Tisya
Karma,"After this creature Attacks or is damaged by an attack or spell, it gains 50% of its lowest stat.",Particle of Ugat
Closure,"At the end of this creature's turn, it gains 35% Current and Maximum Health and Provokes.",Particle of Walken
Iniquity,"When this creature Attacks, it has a 100% chance to attack an additional time. This trait's effect can repeat multiple times in a row, but the chance decreases by 25% after each Attack.",Particle of Yllor
Chip Off the Block,"After this creature is Attacked, your other creatures gain Attack, Intelligence, Defense, and Speed equal to 15% of this creature's stats.",Gold Cog
Embolden,This creature has extra Defense equal to 50% of the creatures' Defense adjacent to it. This trait does not benefit from creatures that also have this trait.,Granite Cog
Mechanical Illusion,"After this creature is killed, it reveals the creature that was haunting it.",Haunted Cog
Self-Awareness,Your Golems share their innate traits with each other.,Iron Cog
Cataclysm,"After this creature is Attacked, it afflicts enemies with Burning. If enemies already have this debuff, its potency is increased by 30% instead.",Magma Cog
Mass Entanglement,"After this creature Defends, each enemy has a 50% chance to be afflicted with Snared.",Moss Cog
Slop,"After this creature is Attacked, enemies are afflicted with Blind. If enemies already have this debuff, it decreases their Speed by 20% instead.",Mud Cog
Bad Dreams,Each enemy has a 50% chance to start battles with Sleeping.,Nightmare Cog
Pumpkin Spice,"At the start of battle, your creatures swap their Maximum Health with their Defense.",Giant Jack-o-lantern
Sense of Purpose,"At the start of this creature's turn, your creatures recover 35% Health.",Regal Cog
Animated Treasure,"When this creature is Attacked, it drops some resources. This creature also tries to run away each turn.",N/A
Treasure Golem's Boon,"At the start of battle, enemies lose 25% of whichever stat corresponds to your lowest amount of resources. This trait does not stack.",Treasure Golem's Plate
Treasure Golem's Revenge,"At the start of battle, your creatures gain 50% of whichever stat corresponds to your highest amount of resources.",Treasure Golem's Core
Treasure Golem's Secret,Your creatures deal additional damage with attacks and spells equal to 20% of whichever stat correspond to your lowest amount of resources.,Treasure Golem's Teddy Bear
Triple Take,This creature Attacks and Casts spells 2 additional times.,War Cog
Master of Golems,"At the start of battle, your Golems gain the Double Take trait. If they already have this trait, they gain the Chip Off The Block trait instead.",Sigil of the Golem
Blink,This creature's attacks deal 75% more damage and afflict the target with Stone.,Deranged Snake
Deterioration,Enemy creatures deal 10% less damage with attacks and spells (up to 90%) for each creature with Stone that is fighting on their side. This trait does not stack.,Gazer Snake
Steady Gaze,"When this creature takes damage from an attack or spell, it has a 50% chance to negate the damage and afflict the enemy with Stone.",Medusa Snake
Eternal Jinx,Enemies' Stone debuffs last forever. This creature deals 75% more damage to enemies with Stone.,Sorceress Snake
Treachery,"At the start of battle, this creature afflicts enemies with Stone.",Trickster Snake
Pulverizing Stare,Enemy creatures take 50% more damage while they're afflicted with Stone. This trait does not stack.,Unhinged Snake
Sealed Fate,"When this creature Casts a single-target spell on an enemy, it deals 50% more damage and afflicts the target with Stone.",Witch Snake
Master of Gorgons,Your Gorgons deal 35% more damage to enemies with Stone for each Gorgon fighting on your side. This trait does not stack.,Sigil of the Gorgon
Volley,Your Griffons have an independent 20% chance to deal critical damage with attacks for each Griffon fighting on your side. This trait does not stack.,Archer Beak
Heavy Repercussions,"At the end of this creature's turn, it has a 7% chance to take another turn for each Griffon fighting on your side.",Assault Beak
Impending Victory,"After one of your Griffons Attack, this creature Attacks a random enemy. This trait does not activate if the attacking Griffon also has this trait.",Divebomber Beak
All As One ,"After your Griffons receive a buff, they share a copy of that buff with all the Griffons fighting on your side. This trait does not stack.",Dreamfinder Beak
Deafening Roar,Your Griffons deal 10% more damage for each Griffon fighting on your side. This trait does not stack.,Razorfoot Beak
Impunity,Your Griffons take 5% less damage for each Griffon fighting on your side. This trait does not stack.,Screecher Beak
Colony,"After one of your other Griffons Defend, the rest of them Defend as well. This trait does not stack.",Silverclaw Beak
Gumption,"When this creature would take fatal damage, it has a 50% chance to be left with 1 Health instead.",Veteran Beak
Master of Griffons,Your Griffons' on-attack and on-critical effects occur 1 additional time. This trait does not stack.,Sigil of the Griffon
Book of the Elder,Your Grimoire creatures share copies of their first 2 equipped Spell Gems with each other. This trait does not stack.,Ancient Parchment
Eldritch Essence,"When one of your other creatures dies, this creature Casts one of their spells twice.",Eldritch Pumpkin
Book of the Lost,"When an enemy manually Casts a spell that is currently equipped by this creature, the spell has a 40% chance to fizzle and this creature Casts it instead.",Faded Parchment
Book of the Heretic,This creature's spells are 100% more potent but have a 25% chance to fizzle.,Forbidden Parchment
Lost Knowledge,Your Grimoires Cast spells 1 additional time. This trait does not stack.,Hidden Parchment
Book of the Dead,"At the start of battle, this creature Casts its first 2 non-Ethereal Spell Gems that summon minions.",Necro Parchment
Book of the Arsonist,This creature's spells that apply the Burning debuff deal 30% more damage. Enemies' Burning debuffs applied by this creature also deal 30% more damage.,Pyro Parchment
Book of the Warlock,"Your creatures start battles with Arcane. At the end of your creatures' turns, they have a 30% chance to gain Arcane.",Runic Parchment
Master of Grimoires,"Your Grimoires are immune to Silenced. In addition, their Spell Gems do not consume Charges.",Sigil of the Grimoire
KRAAW!!!,This creature's attacks deal 75% more damage and afflict Blind.,Eyegouger Crest
SCRAAAW!,"When enemies Defend or Provoke, this creature has a 50% chance to prevent this from happening.",Hag Crest
Red Wedding,"At the start of battle, 3 of your creatures are killed. This trait does not stack.",Malice Crest
Bad Omen,Enemies start battles with Blind.,Marauder Crest
CAWW!,"When an enemy Attacks one of your creatures, its target is chosen at random from your other creatures.",Pillager Crest
BRAAAAWK!,"At the end of each enemy's turn, this creature has a 50% chance to Cast a random spell.",Queen Crest
SKREEE!!,"At the start of each enemy's turn, this creature has a 20% chance to afflict it with Confused.",Screamer Crest
CURUKUKU!!,"When an enemy attempts to Cast a single-target spell on any other creature, they have a 50% chance to target themselves instead.",Torturer Crest
Master of Harpies,"After an enemy Attacks, your Harpies Attack a random enemy for 20% normal damage. This trait does not stack.",Sigil of the Harpy
World Domination,Your Hemomancers' innate traits now activate when they are Attacked as well.,Devourer Blood Vial
From Hero To Zero,"After this creature Attacks, it removes the target's traits that it didn't start with in battle and gives them to your creatures.",Donor Blood Vial
Heartstopper,"After this creature Attacks, it steals 20% of the target's Speed and gives it to your creatures.",Lord Blood Vial
Abation,"After this creature Attacks, it steals 20% of the target's Attack and Intelligence and gives it to your creatures.",Lunar Blood Vial
Depression,"After this creature Attacks, it steals 20% of the target's Defense and gives it to your creatures.",Mutant Blood Vial
Mind Eraser,"After this creature Attacks, it Seals one of the target's Spell Gems and gives a copy of it to your creatures.",Seer Blood Vial
Master of Hemomancers,"If all the creatures in your party are Hemomancers, their on-attack and when-attacked effects activate 1 additional time. This trait does not stack.",Sigil of the Hemomancer
Photomorphogenesis,"After this creature Attacks, it gains 5% Attack. After this creature Casts a spell, it gains 5% Intelligence. After this creature Defends, it gains 5% Defense. After this creature Provokes, it gains 5% Speed.",N/A
Blood Thirst,Your creatures can have 5 additional stacks of Dire Wolves. This trait does not stack.,Blood Collar
Uncharted,Your Hounds deal 5% more damage for each stack of Dire Wolves each of your creatures have. This trait does not stack.,Bone Collar
Summon the Pack,"At the start of your creatures' turns, they gain 1 stack of Dire Wolves. This trait does not stack.",Dread Collar
Hound Legion,Your creatures' Dire Wolves will never go away.,Hell Collar
Fingertip Nip,Your creatures' Dire Wolves deal additional damage equal to 20% of their master's Attack. This trait does not stack.,Horror Collar
Vicious Bite,Your creatures deal 2% more damage for each stack of Dire Wolves each of your creatures have. This trait does not stack.,Panic Collar
Nature of the Beast,Your creatures start battles with 3 stacks of Dire Wolves. This trait does not stack.,Terror Collar
Eye of the Thylacine,"After this creature Attacks or Casts a spell, your Godspawn creatures perform the same action. Your creatures deal 95% less damage.",N/A
Master of Hounds,Your Hounds' Dire Wolves now deal damage based on their highest stat rather than Speed.,Sigil of the Hound
Director's Cut,"After this creature Attacks, it deals damage to a random enemy equal to 70% of the attack's damage. This effect repeats once for each Hunter fighting on your side.",Director Glaive
Glaive of Prayer,"After this creature Attacks, it deals damage to a random enemy equal to 35% of the attack's damage and has a 20% chance to resurrect a random ally with 40% Health. This effect repeats once for each Hunter fighting on your side.",Faith Glaive
Glaive of Justice,"After this creature Attacks, it deals damage to a random enemy equal to 35% of the attack's damage and has a 50% chance to Cast Holy Smite. This effect repeats once for each Hunter fighting on your side.",Heretic Glaive
Glaive of Hungering,"After this creature Attacks, it deals damage to a random enemy equal to 35% of the attack's damage and heals itself for 100% of this damage. This effect repeats once for each Hunter fighting on your side.",Light Glaive
Razorsharp,"After this creature Attacks, it deals damage to a random enemy equal to 35% of the attack's damage, with a 40% chance to deal 100% of the attack's damage. This effect repeats once for each Hunter fighting on your side.",Moon Glaive
Glaive of Power,"After this creature Attacks, it deals damage to a random enemy equal to 35% of the attack's damage and gains 15% of its lowest stat. This effect repeats once for each Hunter fighting on your side.",Scout Glaive
Hunter's Season,"After this creature Attacks, it deals damage to a random enemy equal to 35% of the attack's damage and afflicts them with Poisoned. This effect repeats once for each Hunter fighting on your side.",Servant Glaive
Glaive of Destruction,"After this creature Attacks, it deals damage to a random enemy equal to 20% of its Current Health. This effect repeats once for each Hunter fighting on your side.",Silent Glaive
Master of Hunters,Your Hunters' innate traits repeat twice as many times. This trait does not stack.,Sigil of the Hunter
Next Generation,"After this creature dies, it grants 30% of its Attack, Intelligence, Defense, Speed, and its innate trait to your Imlings.",Boulder Ore
Vengeance,"After your Imlings die, this creature gains 100% Attack and 50% Speed.",Iron Ore
Nothing to Lose,"After one of your Imlings dies, this creature Attacks random enemies 5 times.",Marble Ore
Spirit Link,Your Imlers and Imlings take 10% less damage for each Imler and Imling fighting on your side. Maximum of 90% damage reduction. This trait does not stack.,Mithril Ore
Lead By Example,"Your Imlings gain 25% of the Attack, Intelligence, Defense, and Speed bonuses from this creature's Artifact.",Redstone Ore
Patriarchy,This creature takes all damage from attacks and spells in place of your Imlings.,Sandstone Ore
Devotion,"If you only have one Imler and one Imling fighting on your side, both creatures take 65% less damage. This trait does not stack.",Silver Ore
Trick Imler,"After your creatures Provoke, they deal damage to a random enemy equal to 50% of their Attack. This trait does not stack.",Trick Pumpkin
Master of Imlers,Your Imlers and Imlings deal 20% more damage for each Imler and Imling fighting on your side. This trait does not stack.,Sigil of the Imler
Trove,"At the start of battle, your Imlers and Imlings share copies of their first 3 non-Ethereal Spell Gems with each other.",Diamond Charm
Ingenuity,"Your Imlers gain 25% of the Attack, Intelligence, Defense, and Speed bonuses from this creature's artifact.",Leda Charm
Thick and Thin,"After your Imlers die, they have a 50% chance to be resurrected with 100% Health. This trait does not stack.",Putrid Charm
Jealousy,"If you only have one Imler and one Imling fighting on your side, both creatures share 50% of their base Attack, Intelligence, Defense, and Speed with each other. This trait does not stack.",Rancid Charm
Everything to Gain,"After one of your Imlers dies, this creature Casts its first 5 non-Ethereal spells.",Rock Charm
Rapid Evolution,"At the start of battle, this creature fuses with a copy of a random Imler adjacent to it.",Tainted Charm
Crazy Idea,"While this creature is dead, it Casts a random spell at the start of each enemy's turn.",Treat Pumpkin
Patch Up,"After your Imlers are damaged, they recover 20% Health. This trait does not stack.",Varve Charm
Master of Imlings,Your Imlers and Imlings take 5% less damage for each Imler and Imling fighting on your side. This trait does not stack.,Sigil of the Imling
Grayscale,"After this creature Casts a spell, it resurrects a random ally with 50% Health.",Bishop Totem
Earthen Attunement,"At the start of battle, your creatures gain Shellbust. This spell is cast 1 additional time.",Hexer Totem
Miracle of the Mind,Your creatures' Spell Gems have a 50% chance to Cast 1 additional time. This trait does not stack.,Incarnate Totem
Voodoo,This creature takes 10% less damage (up to 50%) for each non-Ethereal Nature Spell Gem it has equipped.,Inscriber Totem
Darkness Fate,Your creatures have 7% more Speed for each permanent Nature Spell Gem each of your creatures have equipped. Maximum of 3 Spell Gems per creature. This trait does not stack.,Necromancer Totem
Creationism,"When your creatures Cast a damaging Nature spell, each of your creatures contribute 10% of their Intelligence toward the damage dealt. This trait does not stack.",Ritualist Totem
Ordinary Abnormality,Your creatures' Nature spells Cast 1 additional time. This trait does not stack.,Sacrificer Totem
Incarnation,"When your creatures Cast a single-target Nature spell, they have a 50% chance to Cast the spell on all the creatures fighting on the target's side. This trait does not stack.",Shaman Totem
Hee Hay Ho Ha,Your creatures Cast 0.5 additional time for each Imp creature fighting on your side. This trait does not stack.,Impington's Laser Eye
Hee Hoo Ha,Your creatures have a 15% chance to take an additional turn. This trait does not stack.,Impington's Totem
Hoo Ho Ha,"After this creature is killed, it is resurrected as Imp Impington Prime.",Impington's Cog
Master of Imps,"At the start of battle, your Imps gain Shellbust. Your Imps' Shellbust now targets all enemies, and this spell's potency is not penalized for being Ethereal.
This trait does not stack.",Sigil of the Imp
Permanence,Your creatures' minions have a 50% lower chance to go away. This trait does not stack.,Carnivorous Chalice
On A Pale Horse,"Your creatures' Conquest, Death, Famine, and War are 100% more powerful. This trait does not stack.",Countess Chalice
Mass Summoning,"At the start of battle, your creatures gain 1 to 3 random minions. This trait does not stack.",Egglayer Chalice
Open The Portals,"After this creature Attacks, it gains a random minion. After your other creatures Attack, they have a 30% chance to gain a random minion. This trait does not stack.",Infernal Chalice
The Walking Dead,"Your creatures' Zombies minions now deal damage based on their master's highest stat. In addition, your creatures start battles with 1 Zombies. This trait does not stack.",Watchful Chalice
Pleasant Disease,"When your creatures' Writhelings minions afflict a debuff, they also grant one of your creatures a random buff. In addition, your creatures start battles with 1 Writhelings.",Weaver Chalice
Master of Inquisitors,"If all the creatures in your party are Inquisitors, they gain a random minion at the start of their turns. This trait does not stack.",Sigil of the Inquisitor
Hearty Appetite,"After your creatures gain Attack, Intelligence, Defense, or Speed, they gain 20% of that amount as Maximum Health as well. This trait does not stack.",Dull Blade
Heart Versus Mind,"After your creatures' Barrier buffs are damaged and destroyed, they gain 50% of the original strength of the Barrier as Maximum Health. This trait does not stack.",Bastard Blade
Rise Above,"After your creatures are healed, they gain 5% of that amount as Maximum Health as well. This trait does not stack.",Imperfect Blade
Trauma Prevention,"When your creatures gain a Barrier, the strength of the Barrier is increased by an amount equal to 25% of their Maximum Health. This trait does not stack.",Serrated Blade
Division of Mortality,This creature deals additional damage with attacks and spells equal to its Current Health minus the target's Current Health.,Flaming Blade
Big Boned,"At the start of battle, this creature gains Maximum Health equal to 35% of its Attack, Intelligence, Defense, and Speed. Then, these stats are set to their minimum values.",Night Blade
Master of Kolosses,Your Kolosses start battles with 20% more Current and Maximum Health for each Koloss fighting on your side. This trait does not stack.,Sigil of the Koloss
Coming Undone,"After your creatures with Leeching Attack, they gain 10% Attack, Intelligence, Defense, and Speed. This trait does not stack.",Devourer Cyst
Cleansed Blood,Your creatures with Leeching deal 30% more damage and no longer take damage from Blighted. This trait does not stack.,Digger Cyst
Deeper Sucking,Your creatures' Leeching buff is 100% more effective. This trait does not stack.,Celestial Cyst
Bloodlust,Your creatures always have Leeching and receive 30% more healing.,Oculum Cyst
Blood Barrier,"After your creatures are healed by their Leeching buff, they gain a Barrier that absorbs damage equal to 50% of the amount recovered. This trait does not stack.",Oozing Cyst
Imbibe,"After your creatures with Leeching take damage, they are healed for an amount equal to 40% of the damage taken. This trait does not stack.",Toxic Cyst
Master of Leeches,"If all the creatures in your party are Leeches, their Leeching buff lasts forever and heals for 300% more. This trait does not stack.",Sigil of the Leech
Lush Licks,"After your creatures Attack, they afflict their target with a copy of their debuffs.",Addled Pimple
Pus and Pox,"At the start of each enemy's turn, this creature afflicts them with a random debuff. This trait does not stack.",Blightbringer Pimple
Blood Boil,"After this creature Provokes, it explodes and dies, dealing damage to enemies equal to 50% of its Speed for each debuff it had before it died.",Blood Pimple
Final Excretion,"After an enemy dies, this creature Casts Corpse Explosion.",Crazed Pimple
Hugs and Kisses,"After this creature takes damage from an attack or spell, it afflicts the enemy with a random debuff.",Defiler Pimple
Puppet Master,This creature deals 20% more damage and takes 5% less damage for each minion it has.,Grave Pimple
Stank,Enemies deal 5% less damage (up to 90%) and take 7% more damage for each debuff they have. This trait does not stack.,Plaguespreader Pimple
Wrong Side,"After your creatures are afflicted with a debuff, they have a 40% chance to remove the debuff and give it to a random enemy. This trait does not stack.",Tortured Pimple
Master of Lepers,"If all the creatures in your party are Lepers, they afflict an additional debuff on enemies when they afflict them with a debuff. This trait does not stack.",Sigil of the Leper
Heretic Blood,Your creatures' Death spells now cost 20% Health and don't consume any Charges.,Bloodletter Knife
Necronomicon,"This creature Casts Death spells 2 additional times, but these spells act as if this creature has 50% less Intelligence.",Hellcaster Knife
Hail to the King,"At the start of battle, this creature gains Summon Conquest, Summon War, Summon Death, and Summon Famine.",King Knife
Necromastery,Your creatures' Spell Gems that summon minions do not consume any Charges.,Necromancer Knife
Watch of the Buried,"When this creature gains a minion, that minion's number of stacks is set to the maximum amount.",Netherwalker Knife
