name,klass,charges,source,description
Ha Ho Ha,Death,10,False Gods (Impington),"Target is afflicted with Feared. If the target is already afflicted with Feared, it takes a massive amount of damage instead."
Halfway Through,Death,10,Standard Spell (Backer),Target's Health is set to 50%.
Harbinger's Curse,Death,8,Standard Spell (Backer),Target takes a moderate amount of damage and is afflicted with Weak and Vulnerable.
Haste,Sorcery,5,Standard Spell,Target gains a massive amount of Speed.
Haunt,Death,7,Death Guild,"Target takes a small amount of damage and is afflicted with Feared. If the target is already afflicted with Feared, it is sent to the bottom of the Timeline."
Healing,Life,15,Standard Spell,Target recovers a moderate amount of Health.
Heat Wave,Chaos,1,Avatar of Vulcanar,"Enemies take a large amount of damage. In addition, enemies' Maximum Health is reduced by the amount of damage dealt. This spell is an Ultimate spell."
Heaven's Fury,Life,10,Shallan Shop,Target loses a large amount of Maximum Health.
Heaven's Thunder,Life,12,Standard Spell,Target takes a moderate amount of damage and is afflicted with Silenced.
Hell Forge,Chaos,20,Standard Spell,Target gains Taunting and Splashing.
Hellcry Punch,Chaos,8,Gonfurian Shop,Target takes a large amount of damage and is afflicted with Cursed.
Hero's Blessing,Life,13,Standard Spell (Backer),"Removes a debuff from your creatures. This spell cannot be cast manually, but has a 35% chance to cast when the caster Attacks."
Holy Armor,Life,7,Standard Spell,Target gains a Barrier that absorbs a massive amount of damage.
Holy Blast,Life,10,Standard Spell,"Target's Health is set to 25%, and it gains a Barrier that absorbs damage equal to 200% of its Maximum Health."
Holy Bulwark,Life,15,Starter Spell,Your creatures gain a Barrier that absorbs a moderate amount of damage.
Holy Enchantment,Life,5,Standard Spell,Target recovers a large amount of Health and gains a Barrier that absorbs damage equal to the amount of Health recovered.
Holy Explosion,Life,10,Standard Spell,Enemies take a moderate amount of damage.
Holy Fire,Life,10,Surathli Shop,Enemies take damage equal to 30% of the caster's Barrier strength.
Holy Nova,Life,7,Surathli Shop,"Enemies take a moderate amount of damage, and your creatures recover a moderate amount of Health."
Holy Protection,Life,15,Standard Spell,Your creatures gain Shelled.
Holy Shock,Life,13,Standard Spell,Target takes a moderate amount of damage. This spell casts a number of times equal to the number of enemy creatures that belong to the target's class.
Holy Shrine,Life,17,Life Guild,Your creatures gain a random buff.
Holy Smite,Life,20,Standard Spell,Target takes a small amount of damage and the caster recovers a small amount of Health.
Holy Spear,Life,15,Surathli Shop,Target takes damage equal to 50% of the caster's Barrier strength.
Holy Strike,Life,1,Avatar of Surathli,"Target takes a devastating amount of damage, and your creatures gain a Barrier that absorbs damage equal to 100% of the damage dealt. This spell is an Ultimate spell."
Homing Arrow,Nature,13,Apocranox Shop,Target takes a moderate amount of damage that ignores 50% of the target's Defense. 100% of the damage is based on the caster's Speed instead of Intelligence.
Hoo Hay Hell,Chaos,15,False Gods (Impington),"Random enemies take a large amount of damage continuously. After each enemy takes damage, the spell has a 35% chance to end."
Horrible Howl,Nature,7,Standard Spell (Backer),Your creatures with Dire Wolves gain 3 stacks of this minion.
Humility,Life,14,Perdition Shop,Target's stats become equal to its lowest stat.
Hungering Void,Sorcery,1,Avatar of Tenebris,"Enemies take a moderate amount of damage. Then, enemies take a moderate amount of damage for every time this spell has been Cast in the current battle. This spell is an Ultimate spell."
Hypertrophy,Sorcery,5,False Gods (Hydranox),"Target gains Maximum Health equal to 35% of its other stats. Then, those stats are set to their minimum values."
Ice Bolt,Nature,18,Standard Spell,Target takes a small amount of damage and is afflicted with Frozen.
Icewolf Bite,Sorcery,8,Standard Spell,Target takes a moderate amount of damage twice and is afflicted with Frozen.
Ignus Fatuus,Life,15,Standard Spell,"Target takes a moderate amount of damage, plus 25% more damage for each Ethereal Spell Gem it has."
Ill Fate,Death,10,False Gods (Althea),Enemies with Blighted recover a moderate amount of Health.
Illusion,Life,1,Avatar of Yseros,Your creatures gain an Illusion.
Immolation Aura,Chaos,10,Standard Spell,Your creatures gain Savage and Splashing.
Impale,Chaos,7,Genaros Shop,"Target takes a large amount of damage, and enemies adjacent to the target take 75% of that damage."
Impending Doom,Death,20,Standard Spell,Target has a 5% chance to be killed for each turn it has taken in the current battle.
Implosion,Chaos,20,Standard Spell,Target takes a small amount of damage. This damage is increased by 50% for each buff the target has.
Improvised Recitation,Sorcery,4,Standard Spell (Backer),Caster Casts 3 of their Ethereal Spell Gems.
Indiscriminate Summoning,Death,5,Standard Spell (Backer),Your creatures gain a random minion.
Infernal Charge,Chaos,15,Standard Spell,Target Attacks a random enemy for 100% extra damage.
Infernal Claw,Chaos,9,Chaos Guild,"Target takes a small amount of damage and is afflicted with Burning, Bleeding and Vulnerable."
Infernal Pillars,Chaos,3,Standard Spell (Backer),"Enemies take a small amount of damage, or a massive amount of damage if they're afflicted with Burning."
Inferno,Chaos,20,Vulcanar Shop,Extends the duration of the enemies' Burning debuff by 1 turn and increases the debuff's potency by 100%.
Inner Destruction,Chaos,15,Standard Spell,"Caster takes a moderate amount of damage. This spell cannot be cast manually, and instead has a 20% chance to be cast by enemies at the start of their turns."
Inner Strength,Life,7,Surathli Shop,"Your creatures gain a massive amount of Attack, Intelligence, Speed, or Defense. The stat is chosen at random."
Innervate,Life,15,Standard Spell,"Target recovers a small amount of Health, or a massive amount if it has Mending."
Inoculate,Life,10,Standard Spell (Backer),Target is healed for a massive amount of Health and is afflicted with Poisoned.
Insight,Sorcery,10,Standard Spell,"Target gains Arcane. if it already has Arcane, it Casts a non-Ethereal Spell Gem."
Insincerity,Sorcery,10,False Gods (Mindwurm),Target Casts all its buffing spells in your favor.
Internal Combustion,Chaos,20,Standard Spell (Backer),Target gains Taunting and Splashing.
Intimidate,Death,10,Standard Spell,Target loses a large amount of Attack and Defense.
Invisibility,Sorcery,20,Standard Spell,Target gains Invisible.
Iron Skin,Nature,5,Anneltha Shop,Target gains a massive amount of Defense.
Jinx,Sorcery,10,Standard Spell,Target takes a small amount of damage. This damage is increased by 25% for each debuff the target has.
Judgment,Life,15,Yseros Shop,Enemies are killed if they have less than 33% Health.
Judgment Blade,Life,10,Life Guild,"Target takes a small amount of damage, plus 10% damage for each time it has Attacked or Cast a spell in the current battle."
Karmic Retribution,Chaos,12,Standard Spell (Backer),Target takes a small amount of damage. The amount of damage increases by 50% for each time this Spell Gem has been Cast in the current battle.
Kick,Chaos,15,Standard Spell,"Target takes a moderate amount of damage, plus 25% more damage for each debuff it has."
Kindle,Chaos,10,False Gods (Nebodar),"Target takes a large amount of damage, plus 5% more damage for each time the caster has Attacked in the current battle."
Knife's Edge,Chaos,8,Chaos Guild,"Target takes a large amount of damage, plus 5% more damage for each 1% Health the caster is missing."
Lacerate,Chaos,12,Tartarith Shop,"If the target has Bleeding, it takes a massive amount of damage. Otherwise, deals a moderate amount of damage and afflicts the target with Bleeding."
Land of the Dead,Death,3,Death Guild,Your creatures gain Rebirth and then they are killed.
Laser Beam,Sorcery,7,False Gods (Impington),Target takes a large amount of damage and loses Maximum Health equal to 100% of the damage dealt.
Last Stand,Chaos,10,Chaos Guild,"Target Attacks random enemies 3 times for 200% normal damage. Then, it dies."
Lead the Charge,Sorcery,8,Standard Spell (Backer),Target takes a small amount of damage for each creature fighting on your side that belongs to the caster's race. 100% of the damage is based on the caster's highest stat.
Life Orb,Life,3,False Gods (Caliban),Your dead creatures are resurrected with a massive amount of Health. Your living creatures are healed for a massive amount of Health.
Lifeline,Life,8,Muse Shop,Caster recovers 100% Health.
Lightning Storm,Nature,4,Standard Spell,"Enemies take a massive amount of damage, and the caster is afflicted with Silenced."
Lightning Strike,Nature,12,Torun Shop,"Target takes a small amount of damage, or massive damage if the target is Provoking."
Lingering Insanity,Sorcery,11,Standard Spell,Enemies take a small amount of damage. 100% of the damage is based on the enemies' Intelligence instead of the caster's.
Lionheart,Life,10,Perdition Shop,Target gains a large amount of Attack and Defense.
Living Armor,Life,10,Arena Shop,Caster gains a Barrier that absorbs damage equal to 100% of its Maximum Health. This spell is an Arsenal Spell.
Living Axe,Chaos,6,Arena Shop,"Target takes a large amount of damage, plus 25% more damage for each Arsenal Spell spell the caster has Cast in the current battle. This spell is an Arsenal Spell."
Living Boots,Nature,7,Arena Shop,"Your creatures gain a moderate amount of Speed, plus 65% more for each turn they've taken in the current battle. This spell is an Arsenal Spell."
Living Bow,Nature,5,Arena Shop,Caster Casts 3 random Arrow spells. This spell is an Arsenal Spell.
Living Chaos Lance,Chaos,10,Arena Shop,"Target takes a small amount of damage, or massive damage if the target is a Chaos creature. The damage ia based on the caster's Attack instead of Intelligence. This spell is an Arsenal Spell."
Living Chaos Shield,Chaos,7,Arena Shop,"Caster's class is changed to Chaos, it gains Taunting, and it gains a moderate amount of Defense. The potency is based on the caster's Defense instead of Intelligence. This spell is an Arsenal Spell."
Living Cloak,Nature,10,Arena Shop,Caster gains a large amount of Speed and Invisible. This spell is an Arsenal Spell.
Living Death Lance,Death,10,Arena Shop,"Target takes a small amount of damage, or massive damage if the target is a Death creature. The damage ia based on the caster's Attack instead of Intelligence. This spell is an Arsenal Spell."
Living Death Shield,Death,7,Arena Shop,"Caster's class is changed to Death, it gains Leeching, and it gains a moderate amount of Defense. The potency is based on the caster's Defense instead of Intelligence. This spell is an Arsenal Spell."
Living Gauntlet,Chaos,4,Arena Shop,Caster gains a massive amount of Attack and Savage. This spell is an Arsenal Spell.
Living Heavy Shield,Death,4,Arena Shop,Caster gains a massive amount of Defense and Shelled. This spell is an Arsenal Spell.
Living Helmet,Death,4,Arena Shop,Caster gains a massive amount of Maximum Health and Protected. This spell is an Arsenal Spell.
Living Life Lance,Life,10,Arena Shop,"Target takes a small amount of damage, or massive damage if the target is a Life creature. The damage is based on the caster's Attack instead of Intelligence. This spell is an Arsenal Spell."
Living Life Shield,Life,7,Arena Shop,"Caster's class is changed to Life, it gains Protected, and it gains a moderate amount of Defense. The potency is based on the caster's Defense instead of Intelligence. This spell is an Arsenal Spell."
Living Mace,Death,2,Arena Shop,Target takes a devastating amount of damage. This spell is an Arsenal Spell.
Living Nature Lance,Nature,10,Arena Shop,"Target takes a small amount of damage, or massive damage if the target is a Nature creature. The damage ia based on the caster's Attack instead of Intelligence. This spell is an Arsenal Spell."
Living Nature Shield,Nature,7,Arena Shop,"Caster's class is changed to Nature, it gains Invisible, and it gains a moderate amount of Defense. The potency is based on the caster's Defense instead of Intelligence. This spell is an Arsenal Spell."
Living Necklace,Life,6,Arena Shop,"Your ceatures' Spell Gems are unsealed and their Silenced debuffs are removed. This spell is an Arsenal Spell."
Living Ribbon,Life,15,Arena Shop,"Your creatures gain Immune. This spell is an Arsenal Spell."
Living Ring,Sorcery,7,Arena Shop,Target takes a devastating amount of damage. The damage is based on the caster's lowest stat instead of Intelligence. This spell is an Arsenal Spell.
Living Sorcery Lance,Sorcery,10,Arena Shop,"Target takes a small amount of damage, or massive damage if the target is a Sorcery creature. The damage is based on the caster's Attack instead of Intelligence. This spell is an Arsenal Spell."
Living Sorcery Shield,Sorcery,22,Arena Shop,"Caster's class is changed to Sorcery, it gains Warded, and it gains a moderate amount of Defense. The potency is based on the caster's Defense instead of Intelligence. This spell is an Arsenal Spell."
Living Staff,Sorcery,5,Arena Shop,"Enemies take a moderate amount of damage, plus 20% for each non-Ethereal Spell Gem the caster has equipped. This spell is an Arsenal Spell."
Living Sword,Chaos,5,Arena Shop,"Target takes a large amount of damage, plus damage equal to 50% of the caster's Attack. This spell is an Arsenal Spell."
Living Wizard Hat,Sorcery,6,Arena Shop,Caster's Spell Gems do not consume Charges for the rest of the battle. This spell is an Arsenal Spell.
Loveless,Death,5,False Gods (Loid),"Enemies take damage equal to the amount of Intelligence the caster has gained in the current battle. Then, its Intelligence is set to its minimum value."
Lucious Lager,Life,12,Gambling Dwarves,Enemies are afflicted with Sleeping and Blind. This spell is a Booze Spell.
Luck of the Draw,Chaos,10,Standard Spell (Backer),All creatures gain a random buff and a random debuff.
Luck's Gambit,Chaos,5,Standard Spell (Backer),All creatures' Ethereal Spell Gems are replaced with different ones.
Lycanthropy,Nature,10,Reclusa Shop,"Caster transforms into a random Nature creature with 100% Health. Then, this Spell Gem is Sealed. This spell cannot be cast manually, but has a 100% chance to cast when this creature takes damage while it is below 25% Health."
Madness,Nature,15,Standard Spell,Target and the caster take a devastating amount of damage.
Maelstrom,Nature,15,Standard Spell (Backer),Target is afflicted with Confused and Feared.
Magic Jelly Beans,Sorcery,7,Standard Spell (Backer),"Target takes a moderate amount of damage and is afflicted with a random debuff, or is healed for a moderate amount of Health and gains a random buff; depending on whether it is an enemy or an ally."
Magic Missile,Sorcery,35,Starter Spell,Target takes a small amount of damage.
Magic Suppression,Sorcery,5,Standard Spell,Enemies lose a moderate amount of Intelligence and are afflicted with Silenced.
Magma Orb,Chaos,10,Standard Spell,"Target takes a moderate amount of damage, and random enemies take a moderate amount of damage ofr each debuff the target has."
Major Healing,Life,10,Standard Spell,Target recovers a large amount of Health.
Major Resurrection,Life,10,Standard Spell,Target is resurrected with a large amount of Health.
Mangle,Nature,13,Standard Spell,"Target takes a small amount of damage, plus damage equal to 3 turns of its Bleeding debuff."
Mass Dispel,Sorcery,10,Standard Spell,All the creatures on the battlefield lose their buffs and debuffs.
Mass Mutilation,Chaos,3,Standard Spell (Backer),All creatures Attack themselves for 25% normal damage. This spell can only be Cast once at a time.
Mass Taunt,Chaos,10,Standard Spell (Backer),Your creatures Provoke.
Master's Hand,Sorcery,15,Standard Spell (Backer),"Target takes a small amount of damage, plus 20% more damage for each time the caster has Attacked in the current battle."
Meat Grinder,Chaos,15,Chaos Guild,Enemies take damage equal to 30% of the amount of Attack they've lost in the current battle.
Mega Magic,Sorcery,1,Jewels of Zantai,Enemies take a large amount of damage.
Memento of Attack,Chaos,20,False Gods (Construct),This spell doesn't do anything when Cast. The caster has 5% more Attack for each Charge this Spell Gem is missing.
Memento of Defense,Death,20,False Gods (Construct),This spell doesn't do anything when Cast. The caster has 5% more Defense for each Charge this Spell Gem is missing.
Memento of Intelligence,Sorcery,20,False Gods (Construct),This spell doesn't do anything when Cast. The caster has 5% more Intelligence for each Charge this Spell Gem is missing.
Memento of Speed,Nature,20,False Gods (Construct),This spell doesn't do anything when Cast. The caster has 5% more Speed for each Charge this Spell Gem is missing.
Mental Barrier,Sorcery,7,Sorcery Guild,Your creatures gain a Barrier that absorbs a massive amount of damage.
Merry Malt,Nature,12,Gambling Dwarves,Caster gains a random trait that belongs to its race. This spell is a Booze Spell.
Metamorphosis,Nature,20,Regalis Shop,Target's Health is set to a random amount between 1% and 100%.
Meteor Shower,Nature,6,Anneltha Shop,Enemies take a moderate amount of damage three times.
Might of the Jotun,Nature,3,False Gods (Jotun),"Target gains a massive amount of Attack. At the start of its next turn, it Attacks a random enemy."
Mind Blast,Sorcery,12,Zonte Shop,Target takes a moderate amount of damage and is afflicted with Stone.
Mind Control,Sorcery,20,Standard Spell,Target Attacks one of its allies.
Mind Crunch,Sorcery,23,Standard Spell,Target takes damage equal to its Intelligence minus its Attack.
Mind Crush,Sorcery,11,Zonte Shop,Target loses a moderate amount of Intelligence and is afflicted with Sleeping.
Mind Explosion,Sorcery,14,T'mere M'rgo Shop,Target takes a moderate amount of damage. 100% of the damage is based on the target's Intelligence instead of the caster's Intelligence.
Mind Fizzle,Sorcery,6,Standard Spell,Enemies lose a large amount of Intelligence.
Mind Flay,Sorcery,16,Sorcery Guild,"Target takes a small amount of damage, plus 50% more for each creature between it and the caster on the Timeline."
Mind Games,Sorcery,12,Sorcery Guild,Target heals your creatures for a large amount of Health (based on the caster's Intelligence).
Mind Storm,Sorcery,13,Standard Spell,Each enemy takes a small amount of damage and has a 50% chance to be afflicted with Stone.
Mind Tricks,Sorcery,15,Zonte Shop,Target Attacks itself for 50% normal damage.
Minor Healing,Life,20,Starter Spell,Target recovers a small amount of Health.
Minor Resurrection,Life,20,Standard Spell,Target is resurrected with a small amount of Health.
Misery,Death,5,Standard Spell,"Target is afflicted with Weak, Vulnerable, Feared, Cursed and Scorned."
Molten Armor,Chaos,18,Starter Spell,Target gains Shelled and 30% Attack.
Molten Wall,Chaos,8,Standard Spell,Your creatures gain a moderate amount of Attack and Defense.
Morph: Chaos,Chaos,5,Standard Spell,Your creatures gain a large amount of Attack and their classes become Chaos until the end of battle.
Morph: Death,Death,5,Standard Spell,Your creatures gain a large amount of Defense and their classes become Death until the end of battle.
Morph: Life,Life,5,Standard Spell,Your creatures gain a large amount of Health and their classes become Life until the end of battle.
Morph: Nature,Nature,5,Standard Spell,Your creatures gain a large amount of Speed and their classes become Nature until the end of battle.
Morph: Sorcery,Sorcery,5,Standard Spell,Your creatures gain a large amount of Intelligence and their classes become Sorcery until the end of battle.
Mouthbreathe,Death,5,False Gods (Loid),Caster loses a large amount of Intelligence and enemies take damage equal to 200% of this amount.
Murder of Crows,Death,12,Tenebris Shop,"Random enemies take a moderate amount of damage 3 times, plus 2 more times for each dead creature on the battlefield."
Muster,Nature,7,Standard Spell,"Target gains Leeching and Mending, and a large amount of Attack."
Mutagen,Sorcery,5,False Gods (Hydranox),Target is resurrected with a large amount of Health and gains a large amount of stats (excluding Health).
Mutilate,Chaos,10,Tartarith Shop,Target takes damage equal to 50% of the caster's Current Health.
Nature Orb,Nature,3,False Gods (Caliban),Your creatures gain a random buff and a moderate amount of stats.
Nature's Blessing,Nature,20,Standard Spell,Your creatures' buffs gain 3 turns of duration.
Necromantic Armor,Death,10,Standard Spell,Your creatures gain a moderate amount of Defense and Speed.
Necrosis,Death,10,Friden Shop,Enemies take a moderate amount of damage. 50% of the damage is based on the caster's Speed instead of Intelligence.
Night Sword,Death,12,Alexandria Shop,"Target takes a moderate amount of damage and the last Spell Gem the target used is Sealed. If no Spell Gem was used, one is chosen at random."
Nightmare,Death,13,Starter Spell,Target takes a moderate amount of damage and is afflicted with Sleeping.
Nine Meteors,Chaos,3,Standard Spell (Backer),A random enemy takes a small amount of damage. This effect occurs 9 times.
Nourish,Nature,10,Standard Spell,Your creatures gain Mending.
Nutrition,Nature,10,Reclusa Shop,"Removes one of the target's debuffs. If a debuff was successfully removed, heal the target for a large amount of Health."
Obelisk of Summoning,Sorcery,8,Sorcery Guild,Target's minions gain their maximum amount of stacks.
Orbital Strike,Chaos,1,Standard Spell (Backer),Target takes a devastating amount of damage and loses a small amount of Defense.
Overcharge,Nature,5,False Gods (Jotun),"Target takes a devastating amount of damage. Then, this Spell Gem is Sealed."
Overheat,Chaos,10,False Gods (Construct),"Enemies take a small amount of damage, plus 10% for each Charge this Spell Gem is missing."
Pandemonium,Chaos,12,Standard Spell,Shuffles the Timeline.
Panic Attack,Chaos,6,Standard Spell,Each of your creatures Attack a random enemy for 50% normal damage.
Parasite Eve,Nature,10,Nature Guild,Enemies take damage equal to 10% of the amount of Health they've recovered in the current battle.
Parasites,Death,10,Friden Shop,Enemies are afflicted with Blighted and Leeching.
Peace,Life,1,Avatar of Lister,"Enemies' Attack or Intelligence (whichever is highest) is set to their minimum values. Then, afflict each enemy with Scorned or Silenced, depending on whether their Attack or Intelligence was unaffected. This spell is an Ultimate Spell."
Permafrost,Sorcery,15,Azural Shop,Enemies that are Frozen are afflicted with Snared.
Pestilence,Death,7,Standard Spell,Enemies spread 1 of their debuffs to all other enemies.
Petrify,Nature,15,Regalis Shop,Target is afflicted with Stone.
Phantasm,Death,11,Death Guild,"Target takes damage equal to 10% of the Attack, Intelligence, Defense and Speed it lost in the current battle."
Phoenix Burst,Life,6,Standard Spell (Backer),"Enemies take a small amount of damage, or a massive amount of damage if the caster has at least 1 dead enemy. Then, a random enemy is resurrected with 50% Health."
Phoenix Down,Life,1,Life Guild,Your creatures are resurrected with a moderate amount of Health and gain a random buff.
Plague,Death,11,False Gods (Althea),Target recovers a small amount of Health. This effect repeats for each enemy with Blighted.
Planets,Chaos,6,Standard Spell,Enemies take a large amount of damage.
Poison Arrow,Nature,13,Starter Spell,Target takes a moderate amount of damage and is afflicted with Poisoned. 100% of the damage is based on the caster's Speed instead of Intelligence.
Poison Gas,Death,10,Alexandria Shop,Enemies are afflicted with Poisoned.
Polish,Nature,10,Nature Guild,One of the target's Spell Gems regenerates 100% of its Charges.
Pop,Sorcery,10,Sorcery Guild,Random enemies take a moderate amount of damage. The number of times that enemies take damage is equal to the number of times this Spell Gem has been Cast in the current battle.
Potent Porter,Sorcery,7,Gambling Dwarves,Caster Casts 2 of its non-Ethereal Spell Gems. This spell is a Booze Spell.
Powered Blast,Sorcery,8,Standard Spell (Backer),"Target takes a small amount of damage, or a massive amount of damage if the target is the same class as the caster."
Praise the Sun,Life,8,Standard Spell (Backer),All creatures recover a large amount of Health.
Prismatic Channeling,Sorcery,4,Standard Spell (Backer),"Enemies take a large amount of damage, plus 20% more damage for each different class of creature fighting on your side."
Productive Belch,Chaos,19,Tartarith Shop,Target takes a small amount of damage and afflicts the target with Disarmed.
Profanity,Nature,25,Torun Shop,Target Provokes.
Promethean Blaze,Chaos,2,Standard Spell (Backer),Enemies take a moderate amount of damage and are afflicted with Burning. Caster gains Intelligence equal to 10% of the damage dealt.
Prosperity,Life,10,False Gods (Althea),Target gains 50% Current Health. This does not count as a healing effect.
Protect,Life,15,Standard Spell,"Target gains Protected and Warded. Then, it Defends."
Psionic Blast,Sorcery,15,Aeolian Shop,Target takes a moderate amount of damage and is afflicted with Weak.
Psychic Rapture,Sorcery,12,Standard Spell,"Enemies take a small amount of damage, plus 10% more damage for each Ethereal Spell Gem the caster has, up to 200% extra damage."
Pumpkin King's Wrath,Chaos,10,Standard Spell (Backer),Enemies take a moderate amount of damage 2 times.
Pure Love,Life,5,Standard Spell (Backer),Alll creatures gain a massive amount of Maximum Health.
Purgatory,Death,20,Vertraag Shop,Target is sent to the bottom of the Timeline.
Pusplosion,Death,5,Death Guild,"Enemies take a moderate amount of damage, plus 10% more damage for each debuff each enemy has."
Pustule,Death,7,False Gods (Loid),Target takes a small amount of damage and all other enemies take damage equal to 200% of the damage dealt.
Pyroburst,Chaos,12,Standard Spell (Backer),"Target takes a small amount of damage, or a massive amount of damage if they are afflicted with Bomb."
Rabid Dementia,Sorcery,20,Standard Spell,Target Attacks a random enemy for 200% normal damage.
Radiant Sunfire,Chaos,4,Standard Spell (Backer),Your creatures gain a random buff and enemies are afflicted with a random debuff for each enemy with Burning.
Rain of Arrows,Nature,1,Avatar of Apocranox,Enemies take a small amount of damage and the caster Casts 5 random Arrow spells. This spell is an Ultimate spell.
Rain of Blood,Death,10,Erebyss Shop,Enemies are afflicted with Bleeding.
Rapture,Death,1,Standard Spell,Enemies take a massive amount of damage and are afflicted with Weak and Vulnerable.
Ravage,Chaos,11,Tartarith Shop,Target takes a moderate amount of damage and loses a moderate amount of Defense.
Raze,Chaos,12,Vulcanar Shop,Enemies take damage equal to 2 turns of their Burning debuff.
Recharge,Sorcery,1,Standard Spell (Backer),Caster's Spell Gems gain 3 Charges.
Redirection,Chaos,15,Standard Spell,Target gains a moderate amount of Defense and it Provokes.
Redoubt,Nature,10,Anneltha Shop + Nature Guild,"One of the target's Spell Gems loses 100% of its Charges, and it gains Defense equal to 7% of the caster's Intelligence for each Charge removed."
Refresh,Nature,20,Meraxis Shop,Target's debuffs are removed.
Reincarnation,Life,5,Standard Spell,"Target is killed, then resurrected with a massive amount of Health."
Relight,Life,5,Standard Spell (Backer),"Caster is killed, and your other creatures gain Rebirth."
Rend,Chaos,12,Starter Spell,Target takes a moderate amount of damage and is afflicted with Bleeding.
Replicate,Sorcery,10,False Gods (Hydranox),Caster Casts 2 of its other spells.
Requiem,Life,3,Standard Spell,Your creatures are resurrected with a moderate amount of Health.
Resonance,Sorcery,13,Standard Spell,"Enemies take a small amount of damage, or a large amount of damage if they are afflicted with Silenced."
Resplendence,Life,10,Standard Spell (Backer),"Enemies take a small amount of damage, your creatures recover a small amount of Health, and your creatures gain a small amount of Maximum Health."
Restore Balance,Nature,5,Standard Spell (Backer),Enemies' Health percentages are averaged.
Resurrection,Life,15,Standard Spell,Target is resurrected with a moderate amount of Health.
Revelation,Death,10,False Gods (Ancestor),Caster's on-resurrect effects are activated.
Reverberate,Sorcery,13,Aurum Shop,Enemies that are afflicted with Confused Attack one of their allies.
Reverse Polarity,Sorcery,20,Standard Spell,Target's debuffs are converted to random buffs.
Righteous Storm,Life,15,Perdition Shop,Enemies take a small amount of damage and lose a small amount of Attack.
Riotous Rum,Death,10,Gambling Dwarves,Enemies take a moderate amount of damage and are afflicted with Feared. This spell is a Booze Spell.
Ritual of Summoning,Death,10,Standard Spell (Backer),"Caster is killed, and your creatures' minions gain 3 stacks."
River Against the Current,Sorcery,10,Standard Spell (Backer),Enemies' buffs are removed.
Rolling Meteor,Chaos,6,Standard Spell (Backer),"Random enemies continuously take damage equal to 20% of this creature's Current Health. After each enemy takes damage, the spell has a 25% chance to end."
Ruby Power,Sorcery,30,Sorcery Guild,Caster Casts the Spell Gem in the target's Artifact Spell Slot. This spell is even more impressive if you manage to read its description ten times out loud.
Ruin,Nature,5,False Gods (Jotun),"Target loses a devastating amount of its highest stat. Then, this Spell Gem is Sealed."
Rune of Cor,Chaos,20,Rune Knight,"Target takes a large amount of damage, loses a moderate amount of a random stat, and the caster's on-attack effects are activated. 100% of this spell's damage is based on the caster's highest stat."
Rune of Dun,Death,20,Rune Knight,"Target takes a large amount of damage, caster gains a random minion, and the caster's on-attack effects are activated. 100% of this spell's damage is based on the caster's highest stat."
Rune of Lua,Life,20,Rune Knight,"Target takes a large amount of damage, caster recovers equal to 50% of the damage dealt, and the caster's on-attack effects are activated. 100% of this spell's damage is based on the caster's highest stat."
Rune of Nax,Nature,20,Rune Knight,"Target takes a large amount of damage, caster gains a moderate amount of a random stat, and the caster's on-attack effects are activated. 100% of this spell's damage is based on the caster's highest stat."
Rune of Sah,Sorcery,20,Rune Knight,"Target takes a large amount of damage and its buffs and minions are removed, caster's debuffs are remved, and the caster's on-attack effects are activated. 100% of this spell's damage is based on the caster's highest stat"
Rupture,Chaos,14,Venedon Shop,"Target takes a small amount of damage. This damage is increased by the percentage of Attack, Intelligence, Defense and Speed the caster has over those of the target."
Ruse,Nature,12,False Gods (Jotun),"At the start of the target's next turn, it Casts its top-most Spell Gem twice."
Sabotage,Chaos,20,Genaros Shop,"Target attacks the caster 3 times for 5% normal damage. These attacks cannot be dodged, and always deal at least 1 damage."
Sacred Ground,Life,5,Yseros Shop,All creatures are afflicted with Scorned.
Sacrifice to the Light,Life,1,Shallan Shop,"When the caster dies, it resurrects with 100% Health. This spell cannot be cast manually, and only works in normal battles."
Saint's Touch,Life,10,False Gods (Althea),"Target gains a large amount of its highest stat if it's an ally, or loses a large amount of its highest stat if it's an enemy."
Sanctuary,Life,7,Life Guild,"Your creatures gain Shelled, Mending, and Repelling."
Sandstorm,Nature,8,Standard Spell,Enemies take a moderate amount of damage and are afflicted with Blind.
Sapphire Power,Sorcery,15,Sorcery Guild,Target's Artifact's Spell Slot has a 100% chance to activate for the rest of the battle.
Savage Roar,Chaos,3,Genaros Shop,Your creatures gain a massive amount of Attack.
Savage Spores,Nature,5,Regalis Shop,All the creatures on the battlefield become Berserk and lose 40% Defense.
Schism,Life,10,Standard Spell,Enemies take a moderate amount of damage. This spell casts a number of times equal to the number of times your creatures have resurrected in the current battle.
Scourge Chaos,Death,10,Standard Spell,"Target takes a small amount of damage, or massive damage if the target is a Chaos creature."
Scourge Death,Life,10,Standard Spell,"Target takes a small amount of damage, or massive damage if the target is a Death creature."
Scourge Life,Nature,10,Standard Spell,"Target takes a small amount of damage, or massive damage if the target is a Life creature."
Scourge Nature,Sorcery,10,Standard Spell,"Target takes a small amount of damage, or massive damage if the target is a Nature creature."
Scourge Sorcery,Chaos,10,Standard Spell,"Target takes a small amount of damage, or massive damage if the target is a Sorcery creature."
